MESHTERM	1963-1974	1975-1988	1989-1994	1995-2001	2002-2008	2009-2015
Africa	2	0	4	2	4	8
Systems Analysis	0	0	2	2	4	8
Midwestern United States	0	0	0	2	4	8
Peer Review, Health Care	0	0	0	2	4	8
Rhode Island	0	0	0	2	4	8
Expert Testimony	0	0	2	0	4	8
Gift Giving	0	0	2	0	4	8
Severity of Illness Index	0	0	2	0	4	8
Heart Failure	0	2	0	0	4	8
Respiration, Artificial	0	2	0	0	4	8
Abdomen	0	0	0	0	4	8
Child Welfare	0	0	0	0	4	8
Emigrants and Immigrants	0	0	0	0	4	8
Tissue and Organ Procurement	0	0	0	0	4	8
Triage	0	0	0	0	4	8
Hospitals, General	0	4	4	16	2	8
Portugal	0	0	4	10	2	8
Therapeutics	0	4	4	8	2	8
Puerto Rico	0	0	2	8	2	8
Decision Support Techniques	0	0	4	4	2	8
Melanoma	0	0	0	4	2	8
Social Work	0	8	0	2	2	8
Aptitude Tests	0	2	0	2	2	8
Patient Rights	0	2	0	2	2	8
Caribbean Region	0	0	0	2	2	8
Geriatric Assessment	0	0	0	2	2	8
Process Assessment (Health Care)	0	0	0	2	2	8
Respiratory Tract Infections	0	0	0	2	2	8
Personnel Management	0	8	4	0	2	8
Competitive Behavior	0	2	2	0	2	8
Epidemiologic Methods	0	0	2	0	2	8
Homeopathy	0	0	2	0	2	8
Students, Premedical	2	0	0	0	2	8
Blogging	0	0	0	0	2	8
Catheterization, Central Venous	0	0	0	0	2	8
Forensic Psychiatry	0	0	0	0	2	8
Practice Management	0	0	0	0	2	8
Pulmonary Disease, Chronic Obstructive	0	0	0	0	2	8
Social Welfare	0	0	0	0	2	8
Vocational Guidance	0	0	0	0	2	8
Reimbursement Mechanisms	0	8	8	8	0	8
Microscopy	0	0	0	6	0	8
Middle East	0	0	0	6	0	8
Headache	0	0	0	4	0	8
Manuscripts, Medical	0	2	0	2	0	8
Anesthesia Department, Hospital	0	0	0	2	0	8
Diagnostic Techniques and Procedures	0	0	0	2	0	8
Biochemistry	0	4	4	0	0	8
Famous Persons	0	2	4	0	0	8
Night Care	0	0	4	0	0	8
Negotiating	0	0	2	0	0	8
Social Control, Informal	0	0	2	0	0	8
Long-Term Care	0	6	0	0	0	8
Philippines	0	2	0	0	0	8
After-Hours Care	0	0	0	0	0	8
Anthroposophy	0	0	0	0	0	8
Biological Markers	0	0	0	0	0	8
Ethiopia	0	0	0	0	0	8
Health Literacy	0	0	0	0	0	8
Individualized Medicine	0	0	0	0	0	8
Music	0	0	0	0	0	8
Sexism	0	0	0	0	0	8
Syria	0	0	0	0	0	8
Ultrasonography, Interventional	0	0	0	0	0	8
Anxiety	0	4	6	4	24	6
Wisconsin	0	4	6	12	22	6
Medical Laboratory Science	0	12	0	6	22	6
History, 16th Century	0	6	4	8	16	6
Kentucky	0	0	4	8	16	6
Outcome and Process Assessment (Health Care)	0	10	2	2	16	6
Hawaii	0	0	0	0	16	6
Licensure	2	0	0	8	14	6
Randomized Controlled Trials as Topic	0	0	2	2	14	6
Patient Acceptance of Health Care	0	4	0	2	14	6
Population Surveillance	0	0	2	0	14	6
Consumer Participation	0	4	0	8	12	6
Public Sector	0	0	0	4	12	6
Ethics Committees, Research	0	0	0	0	12	6
Psychology, Educational	0	0	0	0	12	6
Remote Consultation	0	0	0	10	10	6
Patient Care Management	0	0	0	2	10	6
Victoria	0	0	4	0	10	6
Intubation, Intratracheal	0	0	2	0	10	6
Peer Review, Research	0	0	0	0	10	6
Robotics	0	0	0	0	10	6
Budgets	0	4	6	8	8	6
Urban Health	0	2	0	6	8	6
Legislation, Medical	0	4	2	4	8	6
Nepal	0	0	0	4	8	6
Psychology	0	10	4	2	8	6
Alabama	0	8	0	2	8	6
Hong Kong	0	0	0	2	8	6
Trust	0	0	0	2	8	6
Microbiology	0	2	4	0	8	6
Occupational Diseases	0	8	2	0	8	6
Memory	0	2	0	0	8	6
Egypt	0	2	2	6	6	6
Education, Graduate	0	0	0	6	6	6
Concept Formation	0	6	0	4	6	6
Vermont	0	2	0	4	6	6
Health Services Administration	0	0	0	4	6	6
Virtues	0	0	0	4	6	6
Chicago	0	14	8	2	6	6
Mental Health	0	0	4	2	6	6
Genetic Testing	0	0	0	2	6	6
Malawi	0	0	0	2	6	6
Programming Languages	0	0	0	2	6	6
Uterine Cervical Neoplasms	0	0	2	0	6	6
Digestive System Surgical Procedures	0	0	0	0	6	6
Education, Public Health Professional	0	0	0	0	6	6
Genetics, Medical	0	0	0	0	6	6
Financing, Organized	0	12	4	16	4	6
Information Systems	0	6	22	14	4	6
Psychosomatic Medicine	0	2	2	12	4	6
Prospective Payment System	0	4	4	8	4	6
Health Services	0	8	2	8	4	6
Private Practice	0	10	2	6	4	6
Histology	0	0	0	6	4	6
New Jersey	0	4	8	4	4	6
Oregon	0	4	6	4	4	6
Student Dropouts	0	0	4	4	4	6
Asian Americans	0	0	0	4	4	6
Journalism, Medical	0	0	0	4	4	6
Mammography	0	2	6	2	4	6
Maryland	0	6	0	2	4	6
Persuasive Communication	0	0	0	2	4	6
Vietnam	0	0	0	2	4	6
Nursing Homes	0	8	2	0	4	6
Blood Pressure	0	2	2	0	4	6
Equipment Design	0	2	2	0	4	6
Heart Diseases	0	2	2	0	4	6
Reference Books, Medical	0	2	2	0	4	6
Family Characteristics	0	2	0	0	4	6
Mental Health Services	0	2	0	0	4	6
Anesthesia	0	0	0	0	4	6
Asian Continental Ancestry Group	0	0	0	0	4	6
Minimally Invasive Surgical Procedures	0	0	0	0	4	6
Risk-Taking	0	0	0	0	4	6
Sexuality	0	0	0	0	4	6
Social Medicine	0	12	12	10	2	6
Medical Staff	0	0	2	10	2	6
Diagnosis, Computer-Assisted	0	8	22	6	2	6
Population Dynamics	0	2	0	6	2	6
Government Agencies	0	2	2	4	2	6
History, 15th Century	0	2	2	4	2	6
Utah	0	2	2	4	2	6
Economics, Hospital	0	6	0	4	2	6
Travel	0	0	0	4	2	6
Violence	0	0	0	4	2	6
Alaska	0	8	2	2	2	6
Myocardial Infarction	0	6	2	2	2	6
Advertising as Topic	0	2	2	2	2	6
Cause of Death	0	0	2	2	2	6
Echocardiography	0	2	0	2	2	6
Governing Board	0	2	0	2	2	6
Family Relations	0	0	0	2	2	6
Government Programs	0	0	0	2	2	6
Health Care Sector	0	0	0	2	2	6
MEDLINE	0	0	6	0	2	6
Cuba	0	2	2	0	2	6
Appointments and Schedules	0	0	2	0	2	6
Photography	0	0	2	0	2	6
Schizophrenia	0	2	0	0	2	6
Acute Coronary Syndrome	0	0	0	0	2	6
Antihypertensive Agents	0	0	0	0	2	6
Brain Neoplasms	0	0	0	0	2	6
Breast Feeding	0	0	0	0	2	6
Geography	0	0	0	0	2	6
Government Regulation	0	0	0	0	2	6
Magnetic Resonance Imaging	0	0	0	0	2	6
Mozambique	0	0	0	0	2	6
Organizations, Nonprofit	0	0	0	0	2	6
Reminder Systems	0	0	0	0	2	6
Research Subjects	0	0	0	0	2	6
Spirometry	0	0	0	0	2	6
Suture Techniques	0	0	0	0	2	6
Thoracic Surgical Procedures	0	0	0	0	2	6
Technology	0	4	2	8	0	6
Patient Compliance	0	2	0	6	0	6
Indians, North American	0	0	0	6	0	6
Librarians	0	0	0	6	0	6
Blood Transfusion	0	0	4	4	0	6
Mathematics	0	0	0	4	0	6
Europe, Eastern	0	2	0	2	0	6
Automation	0	0	0	2	0	6
Endoscopy, Gastrointestinal	0	0	0	2	0	6
Survival Rate	0	0	0	2	0	6
Intraoperative Complications	0	0	2	0	0	6
Personhood	0	0	2	0	0	6
Reward	0	0	2	0	0	6
Substance Abuse Detection	0	0	2	0	0	6
Literature, Modern	0	4	0	0	0	6
Aptitude	0	2	0	0	0	6
Child Care	0	2	0	0	0	6
Students, Nursing	0	2	0	0	0	6
Uganda	0	2	0	0	0	6
Airway Management	0	0	0	0	0	6
Aortic Aneurysm, Abdominal	0	0	0	0	0	6
Appendectomy	0	0	0	0	0	6
Austria-Hungary	0	0	0	0	0	6
Bisexuality	0	0	0	0	0	6
Capacity Building	0	0	0	0	0	6
Cardiovascular System	0	0	0	0	0	6
Colectomy	0	0	0	0	0	6
Critical Pathways	0	0	0	0	0	6
Elective Surgical Procedures	0	0	0	0	0	6
Endovascular Procedures	0	0	0	0	0	6
Health Records, Personal	0	0	0	0	0	6
Hip Fractures	0	0	0	0	0	6
Homosexuality, Female	0	0	0	0	0	6
Homosexuality, Male	0	0	0	0	0	6
Integrative Medicine	0	0	0	0	0	6
Mobile Applications	0	0	0	0	0	6
Neck	0	0	0	0	0	6
Operative Time	0	0	0	0	0	6
Patient Preference	0	0	0	0	0	6
Prescription Drugs	0	0	0	0	0	6
Research Report	0	0	0	0	0	6
Rwanda	0	0	0	0	0	6
Search Engine	0	0	0	0	0	6
Sepsis	0	0	0	0	0	6
Spiritual Therapies	0	0	0	0	0	6
Drug Utilization	0	4	2	4	24	4
New Mexico	0	14	2	2	18	4
Holistic Health	0	4	2	6	14	4
Domestic Violence	0	0	0	14	12	4
South Australia	0	0	4	6	12	4
Models, Biological	0	6	0	4	12	4
Social Class	0	6	2	10	10	4
Outpatient Clinics, Hospital	0	8	8	6	10	4
Education, Continuing	0	2	2	6	10	4
History of Medicine	0	6	0	6	10	4
Sociology, Medical	0	4	6	4	10	4
Risk	0	2	2	4	10	4
Life Support Care	0	4	0	2	10	4
Pharmacology, Clinical	0	2	8	0	10	4
International Agencies	0	0	2	0	10	4
Medicine, Chinese Traditional	0	6	0	0	10	4
Korea	0	0	10	14	8	4
Organizational Affiliation	0	6	2	10	8	4
Health Planning	2	4	6	8	8	4
Finland	0	4	2	8	8	4
Bosnia-Herzegovina	0	0	0	8	8	4
Patient Admission	0	4	2	6	8	4
Telephone	0	8	4	4	8	4
Caregivers	0	0	2	2	8	4
Personnel, Hospital	0	0	0	2	8	4
Animal Experimentation	0	0	12	0	8	4
Medicine, Traditional	0	2	2	0	8	4
Genetic Counseling	0	0	0	0	8	4
Centers for Medicare and Medicaid Services (U.S.)	0	2	10	8	6	4
Awards and Prizes	0	0	2	8	6	4
Preventive Health Services	0	2	0	6	6	4
Conflict (Psychology)	0	0	0	6	6	4
Czech Republic	0	0	0	6	6	4
Slovakia	0	0	0	6	6	4
Hospitals, Public	0	4	4	4	6	4
Physics	0	2	0	4	6	4
Hospitalization	0	4	2	2	6	4
Palpation	0	2	2	2	6	4
Personality Inventory	0	2	2	2	6	4
Prognosis	0	2	0	2	6	4
Anecdotes as Topic	0	0	0	2	6	4
Berlin	0	0	0	2	6	4
Heart Arrest	0	0	0	2	6	4
Reproductive Medicine	0	0	0	2	6	4
Social Isolation	0	0	0	2	6	4
Wit and Humor as Topic	0	0	0	2	6	4
Communicable Disease Control	0	0	0	0	6	4
Emergency Treatment	0	0	0	0	6	4
Greek World	0	0	0	0	6	4
Ophthalmologic Surgical Procedures	0	0	0	0	6	4
Refugees	0	0	0	0	6	4
Risk Adjustment	0	0	0	0	6	4
Students, Health Occupations	0	0	0	0	6	4
Trauma Centers	0	0	0	0	6	4
Medicine in Literature	0	6	2	12	4	4
Public Opinion	0	6	2	10	4	4
Hypermedia	0	0	0	10	4	4
Image Processing, Computer-Assisted	0	0	2	8	4	4
New Hampshire	0	2	4	6	4	4
Television	0	6	2	6	4	4
European Continental Ancestry Group	0	2	2	6	4	4
National Institutes of Health (U.S.)	0	2	2	6	4	4
Financing, Personal	0	2	0	6	4	4
Information Management	0	0	0	6	4	4
Tuberculosis	0	0	0	6	4	4
Environmental Health	0	2	4	4	4	4
Ethical Theory	0	0	4	4	4	4
Government	0	8	2	4	4	4
Resource Allocation	0	4	2	4	4	4
Home Care Services	0	2	2	4	4	4
Civil Rights	0	4	0	4	4	4
Community Networks	0	0	0	4	4	4
Tobacco Use Disorder	0	0	0	4	4	4
Health Priorities	0	2	6	2	4	4
Decision Trees	0	0	2	2	4	4
Education, Dental, Graduate	0	0	2	2	4	4
Patient Selection	0	0	2	2	4	4
Authorship	0	2	0	2	4	4
Parents	0	2	0	2	4	4
Health Status Indicators	0	0	0	2	4	4
Legislation, Hospital	0	0	0	2	4	4
Osteoporosis	0	0	0	2	4	4
Poetry as Topic	0	0	0	2	4	4
Sexual Dysfunction, Physiological	0	0	0	2	4	4
Physician Impairment	0	8	6	0	4	4
Codes of Ethics	0	0	4	0	4	4
Psychoanalytic Therapy	0	0	4	0	4	4
Psychological Tests	0	4	2	0	4	4
Hospital Units	0	2	0	0	4	4
Imagination	0	2	0	0	4	4
Religion	0	2	0	0	4	4
Absenteeism	0	0	0	0	4	4
Advanced Cardiac Life Support	0	0	0	0	4	4
Colorectal Neoplasms	0	0	0	0	4	4
Embryology	0	0	0	0	4	4
Exercise	0	0	0	0	4	4
Family Planning Services	0	0	0	0	4	4
First Aid	0	0	0	0	4	4
Multiple Sclerosis	0	0	0	0	4	4
Operating Rooms	0	0	0	0	4	4
Pathology, Surgical	0	0	0	0	4	4
Perinatology	0	0	0	0	4	4
Yugoslavia	0	0	0	0	4	4
Group Practice	0	2	2	8	2	4
Hospital Administration	0	4	0	8	2	4
Death	0	2	0	6	2	4
Random Allocation	0	14	6	4	2	4
Books	0	4	0	4	2	4
Eye Diseases	0	2	0	4	2	4
Interview, Psychological	0	2	0	4	2	4
Environmental Medicine	0	0	0	4	2	4
Intensive Care Units, Neonatal	0	0	0	4	2	4
Surgery, Oral	0	0	0	4	2	4
Utilization Review	0	0	0	4	2	4
Hospitals, Military	0	0	4	2	2	4
South Dakota	0	0	2	2	2	4
Suicide	0	2	0	2	2	4
Personality Assessment	2	0	0	2	2	4
Feminism	0	0	0	2	2	4
Head	0	0	0	2	2	4
Heart Auscultation	0	0	0	2	2	4
Likelihood Functions	0	0	0	2	2	4
Meta-Analysis as Topic	0	0	0	2	2	4
Motor Skills	0	0	0	2	2	4
Patient Transfer	0	0	0	2	2	4
Patients' Rooms	0	0	0	2	2	4
Personnel Turnover	0	0	0	2	2	4
Moral Obligations	0	2	6	0	2	4
Hippocratic Oath	0	0	4	0	2	4
Tape Recording	0	8	2	0	2	4
Affect	0	6	2	0	2	4
Insurance, Liability	0	2	2	0	2	4
Jamaica	0	0	2	0	2	4
Personality Tests	0	0	2	0	2	4
Islam	0	4	0	0	2	4
Human Experimentation	0	2	0	0	2	4
Pelvis	0	2	0	0	2	4
Psychophysiologic Disorders	0	2	0	0	2	4
Acculturation	0	0	0	0	2	4
Anxiety Disorders	0	0	0	0	2	4
Blood Glucose	0	0	0	0	2	4
Centers for Disease Control and Prevention (U.S.)	0	0	0	0	2	4
Computer Security	0	0	0	0	2	4
Contraception	0	0	0	0	2	4
Cross Infection	0	0	0	0	2	4
Delirium	0	0	0	0	2	4
Depressive Disorder, Major	0	0	0	0	2	4
Disease Outbreaks	0	0	0	0	2	4
Electric Countershock	0	0	0	0	2	4
Empirical Research	0	0	0	0	2	4
Faculty, Nursing	0	0	0	0	2	4
Ghana	0	0	0	0	2	4
Homeless Persons	0	0	0	0	2	4
Infection Control	0	0	0	0	2	4
Marketing	0	0	0	0	2	4
Medical Missions, Official	0	0	0	0	2	4
Mothers	0	0	0	0	2	4
Nonverbal Communication	0	0	0	0	2	4
Physical Fitness	0	0	0	0	2	4
Polypharmacy	0	0	0	0	2	4
Portraits as Topic	0	0	0	0	2	4
PubMed	0	0	0	0	2	4
Q-Sort	0	0	0	0	2	4
Rheumatic Diseases	0	0	0	0	2	4
Schizophrenic Psychology	0	0	0	0	2	4
Selection Bias	0	0	0	0	2	4
Sleep Disorders, Circadian Rhythm	0	0	0	0	2	4
Translating	0	0	0	0	2	4
Diagnosis-Related Groups	0	8	8	4	0	4
Internal-External Control	0	2	2	4	0	4
Health Expenditures	0	0	2	4	0	4
Expert Systems	0	2	14	2	0	4
Behavioral Medicine	0	2	2	2	0	4
Pharmacists	0	2	2	2	0	4
Cholecystectomy, Laparoscopic	0	0	2	2	0	4
Diet	0	2	0	2	0	4
Romania	0	2	0	2	0	4
Aggression	0	0	0	2	0	4
Alzheimer Disease	0	0	0	2	0	4
Analgesics, Opioid	0	0	0	2	0	4
Arthroscopy	0	0	0	2	0	4
Behavior Therapy	0	0	0	2	0	4
Causality	0	0	0	2	0	4
Critical Illness	0	0	0	2	0	4
Low Back Pain	0	0	0	2	0	4
Natural Language Processing	0	0	0	2	0	4
Nutrition Assessment	0	0	0	2	0	4
Seizures	0	0	0	2	0	4
Latin America	0	26	4	0	0	4
Radiology Department, Hospital	0	0	4	0	0	4
Iatrogenic Disease	0	2	2	0	0	4
Library Services	0	2	2	0	0	4
Aspirations (Psychology)	0	0	2	0	0	4
Cardiac Pacing, Artificial	0	0	2	0	0	4
Catheterization, Peripheral	0	0	2	0	0	4
Jurisprudence	0	0	2	0	0	4
Nursing Staff	0	0	2	0	0	4
Bibliography as Topic	0	8	0	0	0	4
Group Structure	0	4	0	0	0	4
Homicide	0	2	0	0	0	4
Prisoners	0	2	0	0	0	4
Verbal Behavior	0	2	0	0	0	4
Actigraphy	0	0	0	0	0	4
Acupuncture Therapy	0	0	0	0	0	4
Alcohol-Related Disorders	0	0	0	0	0	4
Altitude Sickness	0	0	0	0	0	4
Anthropology, Medical	0	0	0	0	0	4
Biopsy, Fine-Needle	0	0	0	0	0	4
Bipolar Disorder	0	0	0	0	0	4
Brain Concussion	0	0	0	0	0	4
Cardiac Catheterization	0	0	0	0	0	4
Cardiovascular Agents	0	0	0	0	0	4
Catheterization	0	0	0	0	0	4
Child Rearing	0	0	0	0	0	4
Chronic Pain	0	0	0	0	0	4
Climate Change	0	0	0	0	0	4
Colorectal Surgery	0	0	0	0	0	4
Community-Based Participatory Research	0	0	0	0	0	4
Conscience	0	0	0	0	0	4
Controlled Clinical Trials as Topic	0	0	0	0	0	4
Countertransference (Psychology)	0	0	0	0	0	4
Cranial Nerve Diseases	0	0	0	0	0	4
Data Mining	0	0	0	0	0	4
Disease Progression	0	0	0	0	0	4
Drug Administration Schedule	0	0	0	0	0	4
Dyslexia	0	0	0	0	0	4
Education, Nursing, Graduate	0	0	0	0	0	4
Emergency Medical Technicians	0	0	0	0	0	4
Energy Metabolism	0	0	0	0	0	4
Feeding Behavior	0	0	0	0	0	4
General Practice, Dental	0	0	0	0	0	4
Gynecological Examination	0	0	0	0	0	4
Happiness	0	0	0	0	0	4
Head and Neck Neoplasms	0	0	0	0	0	4
Health Facility Environment	0	0	0	0	0	4
Heart Murmurs	0	0	0	0	0	4
Heart Rate	0	0	0	0	0	4
Herniorrhaphy	0	0	0	0	0	4
House Calls	0	0	0	0	0	4
Human Engineering	0	0	0	0	0	4
Hysterectomy	0	0	0	0	0	4
Impotence, Vasculogenic	0	0	0	0	0	4
Individuality	0	0	0	0	0	4
Information Seeking Behavior	0	0	0	0	0	4
Interior Design and Furnishings	0	0	0	0	0	4
Journal Impact Factor	0	0	0	0	0	4
Lower Extremity	0	0	0	0	0	4
Mandatory Programs	0	0	0	0	0	4
Manuscripts as Topic	0	0	0	0	0	4
Mass Casualty Incidents	0	0	0	0	0	4
Maternal Welfare	0	0	0	0	0	4
Medication Therapy Management	0	0	0	0	0	4
Medicine, Tibetan Traditional	0	0	0	0	0	4
Memory, Short-Term	0	0	0	0	0	4
Menopause	0	0	0	0	0	4
Minicomputers	0	0	0	0	0	4
Minority Health	0	0	0	0	0	4
Multilingualism	0	0	0	0	0	4
Nerve Block	0	0	0	0	0	4
New Orleans	0	0	0	0	0	4
Nutritional Status	0	0	0	0	0	4
Operating Room Information Systems	0	0	0	0	0	4
Operations Research	0	0	0	0	0	4
Optic Disk	0	0	0	0	0	4
Organ Transplantation	0	0	0	0	0	4
Overweight	0	0	0	0	0	4
Paintings	0	0	0	0	0	4
Palliative Medicine	0	0	0	0	0	4
Pattern Recognition, Visual	0	0	0	0	0	4
Peripheral Vascular Diseases	0	0	0	0	0	4
Personal Narratives as Topic	0	0	0	0	0	4
Phosphodiesterase Inhibitors	0	0	0	0	0	4
Phytotherapy	0	0	0	0	0	4
Police	0	0	0	0	0	4
Preoperative Care	0	0	0	0	0	4
Privacy	0	0	0	0	0	4
Public Health Administration	0	0	0	0	0	4
Radiation Protection	0	0	0	0	0	4
Radiology, Interventional	0	0	0	0	0	4
Reaction Time	0	0	0	0	0	4
Red Cross	0	0	0	0	0	4
Refractive Surgical Procedures	0	0	0	0	0	4
Renal Dialysis	0	0	0	0	0	4
Reproductive Health	0	0	0	0	0	4
Republic of Korea	0	0	0	0	0	4
Resuscitation Orders	0	0	0	0	0	4
Retinal Diseases	0	0	0	0	0	4
Rhinitis	0	0	0	0	0	4
Russia (Pre-1917)	0	0	0	0	0	4
Sample Size	0	0	0	0	0	4
Serbia	0	0	0	0	0	4
Sexology	0	0	0	0	0	4
Shame	0	0	0	0	0	4
Shock, Septic	0	0	0	0	0	4
Sleep Medicine Specialty	0	0	0	0	0	4
Social Skills	0	0	0	0	0	4
Spinal Diseases	0	0	0	0	0	4
Test Anxiety Scale	0	0	0	0	0	4
Test Taking Skills	0	0	0	0	0	4
Thoracic Diseases	0	0	0	0	0	4
Tissue Donors	0	0	0	0	0	4
Tobacco Use Cessation	0	0	0	0	0	4
Tracheostomy	0	0	0	0	0	4
Translations	0	0	0	0	0	4
Transplantation	0	0	0	0	0	4
Transsexualism	0	0	0	0	0	4
Voluntary Programs	0	0	0	0	0	4
Wireless Technology	0	0	0	0	0	4
Workflow	0	0	0	0	0	4
Pharmacology	0	4	0	10	24	2
Computer Literacy	0	0	0	30	18	2
Ethics, Clinical	0	0	8	0	16	2
CD-ROM	0	0	0	12	14	2
Incidence	0	0	0	6	14	2
Clinical Laboratory Techniques	0	6	2	2	14	2
Time	0	0	0	2	14	2
Hospice Care	0	0	4	0	14	2
Education, Veterinary	0	2	0	0	14	2
World Health Organization	4	4	6	10	12	2
Nova Scotia	0	0	2	6	12	2
Oral Health	0	0	0	0	12	2
Planning Techniques	0	2	6	10	10	2
Urban Health Services	0	0	0	8	10	2
Missouri	0	10	2	4	10	2
Dementia	0	0	0	4	10	2
Sampling Studies	0	8	4	2	10	2
Gender Identity	0	2	2	2	10	2
Allergy and Immunology	0	0	0	0	10	2
Epidemiology	0	6	4	12	8	2
Computer Graphics	0	0	10	10	8	2
Wales	0	2	6	4	8	2
Newfoundland and Labrador	0	0	0	2	8	2
Laboratories	0	4	4	0	8	2
Reference Standards	0	2	4	0	8	2
Biomechanical Phenomena	0	0	0	0	8	2
Disasters	0	0	0	0	8	2
Mind-Body Relations, Metaphysical	0	0	0	0	8	2
Computer Communication Networks	0	0	6	46	6	2
Computer User Training	0	2	4	20	6	2
Marketing of Health Services	0	2	0	14	6	2
Louisiana	0	2	4	12	6	2
Programmed Instruction as Topic	2	16	12	6	6	2
Literature	0	0	2	6	6	2
Women	0	8	6	4	6	2
Decision Making, Organizational	0	0	2	4	6	2
Psychology, Social	0	8	0	4	6	2
Diabetes Mellitus, Type 2	0	0	0	4	6	2
Double-Blind Method	0	0	0	4	6	2
Intensive Care Units, Pediatric	0	0	0	4	6	2
Logic	0	0	4	2	6	2
Social Conditions	0	0	2	2	6	2
Adolescent Medicine	0	0	0	2	6	2
Anatomy, Cross-Sectional	0	0	0	2	6	2
Communicable Diseases	0	0	0	2	6	2
Geriatric Psychiatry	0	0	0	2	6	2
Intensive Care, Neonatal	0	0	0	2	6	2
Knee Joint	0	0	0	2	6	2
Societies, Scientific	0	0	0	2	6	2
Swine	0	0	0	2	6	2
Vaginal Smears	0	0	0	2	6	2
Vocabulary, Controlled	0	0	0	2	6	2
Hospital Departments	0	4	8	0	6	2
Outpatients	0	0	4	0	6	2
Sex	0	2	0	0	6	2
West Indies	0	2	0	0	6	2
Biopsy	2	0	0	0	6	2
Biomedical Technology	0	0	0	0	6	2
Brain	0	0	0	0	6	2
Dental Care for Children	0	0	0	0	6	2
Drug Utilization Review	0	0	0	0	6	2
Models, Animal	0	0	0	0	6	2
Naturopathy	0	0	0	0	6	2
Obstetrics and Gynecology Department, Hospital	0	0	0	0	6	2
Radiography, Thoracic	0	0	0	0	6	2
Sports Medicine	0	0	0	0	6	2
Financial Management	0	12	2	14	4	2
Asia	0	6	6	8	4	2
Hospital Information Systems	0	2	2	6	4	2
Hospitals, Urban	0	0	2	6	4	2
Regional Medical Programs	0	2	0	6	4	2
Age Distribution	0	0	2	4	4	2
Microsurgery	0	0	2	4	4	2
Schools, Public Health	0	0	2	4	4	2
West Virginia	0	0	2	4	4	2
Work	0	4	2	2	4	2
Abstracting and Indexing as Topic	0	0	2	2	4	2
Health Plan Implementation	0	0	2	2	4	2
Life Change Events	0	0	2	2	4	2
North Dakota	0	0	2	2	4	2
Classification	0	2	0	2	4	2
Midwifery	0	2	0	2	4	2
Stress, Physiological	0	2	0	2	4	2
Anti-Asthmatic Agents	0	0	0	2	4	2
Hygiene	0	0	0	2	4	2
Investments	0	0	0	2	4	2
Patient Discharge	0	0	0	2	4	2
Phantoms, Imaging	0	0	0	2	4	2
Skin Diseases	0	0	0	2	4	2
Accidents, Traffic	0	0	2	0	4	2
Endoscopy, Digestive System	0	0	2	0	4	2
Libraries	0	0	2	0	4	2
Students, Dental	0	0	2	0	4	2
Sex Education	0	6	0	0	4	2
Burns	0	2	0	0	4	2
Indiana	0	2	0	0	4	2
Acupuncture	0	0	0	0	4	2
Albania	0	0	0	0	4	2
Analgesics	0	0	0	0	4	2
Australian Capital Territory	0	0	0	0	4	2
Automatic Data Processing	0	0	0	0	4	2
Bangladesh	0	0	0	0	4	2
Barber Surgeons	0	0	0	0	4	2
Bone Density	0	0	0	0	4	2
Colonoscopy	0	0	0	0	4	2
Conscious Sedation	0	0	0	0	4	2
Coronary Artery Bypass, Off-Pump	0	0	0	0	4	2
Cost of Illness	0	0	0	0	4	2
Delaware	0	0	0	0	4	2
Dental Caries	0	0	0	0	4	2
Editorial Policies	0	0	0	0	4	2
Gastrointestinal Diseases	0	0	0	0	4	2
Hypoglycemic Agents	0	0	0	0	4	2
Image Interpretation, Computer-Assisted	0	0	0	0	4	2
Immunization	0	0	0	0	4	2
Liver	0	0	0	0	4	2
Mentally Ill Persons	0	0	0	0	4	2
Oman	0	0	0	0	4	2
Papillomavirus Infections	0	0	0	0	4	2
Paris	0	0	0	0	4	2
Rats	0	0	0	0	4	2
Risk Reduction Behavior	0	0	0	0	4	2
Roman World	0	0	0	0	4	2
Stress Disorders, Post-Traumatic	0	0	0	0	4	2
Visual Perception	0	0	0	0	4	2
World War II	0	0	0	0	4	2
Microcomputers	0	20	26	16	2	2
Health Maintenance Organizations	0	8	8	10	2	2
Alcohol Drinking	0	0	2	8	2	2
Manitoba	0	0	0	8	2	2
USSR	0	12	18	6	2	2
Ethics	0	4	8	6	2	2
Foundations	0	6	2	6	2	2
Pacific Islands	0	0	0	6	2	2
Database Management Systems	0	0	6	4	2	2
Professional Staff Committees	0	12	4	4	2	2
Oklahoma	0	6	4	4	2	2
Tropical Medicine	0	0	2	4	2	2
Sexually Transmitted Diseases	0	6	0	4	2	2
Case Management	0	0	0	4	2	2
Intelligence	0	0	0	4	2	2
Reimbursement, Incentive	0	0	0	4	2	2
Social Behavior	0	0	0	4	2	2
Economics	0	8	2	2	2	2
Child Development	0	0	2	2	2	2
Drug Information Services	0	0	2	2	2	2
Men	0	0	2	2	2	2
Comprehensive Health Care	0	6	0	2	2	2
Physicians' Offices	0	4	0	2	2	2
Poverty Areas	0	4	0	2	2	2
Psychotherapy, Group	0	4	0	2	2	2
Clinical Trials as Topic	0	2	0	2	2	2
Decision Theory	0	2	0	2	2	2
Fear	0	2	0	2	2	2
Prisons	0	2	0	2	2	2
Sri Lanka	0	2	0	2	2	2
Antidepressive Agents	0	0	0	2	2	2
Bereavement	0	0	0	2	2	2
Drug Resistance, Microbial	0	0	0	2	2	2
